plantID,plotID,elevation.m,shade.sun,damage.trt,fruits
85,6,1500,sun,ctrl,15
86,6,1500,sun,tip,14
87,6,1500,sun,holes,3
88,6,1500,sun,ctrl,6
89,6,1500,sun,tip,27
90,6,1500,sun,holes,10
91,7,1875,shade,ctrl,25
92,7,1875,shade,tip,13
93,7,1875,shade,holes,9
94,7,1875,shade,ctrl,8
95,7,1875,shade,tip,14
96,7,1875,shade,holes,4
97,7,1875,shade,ctrl,9
98,7,1875,shade,tip,10
99,7,1875,shade,holes,13
100,7,1875,shade,ctrl,13
101,7,1875,shade,tip,10
102,7,1875,shade,holes,16
103,7,1875,shade,ctrl,18
104,7,1875,shade,tip,20
105,7,1875,shade,holes,3
106,8,1875,sun,ctrl,12
107,8,1875,sun,tip,10
108,8,1875,sun,holes,7
109,8,1875,sun,ctrl,15
110,8,1875,sun,tip,10
111,8,1875,sun,holes,19
112,8,1875,sun,ctrl,13
113,8,1875,sun,tip,12
114,8,1875,sun,holes,6
115,8,1875,sun,ctrl,11
116,8,1875,sun,tip,10
117,8,1875,sun,holes,7
118,8,1875,sun,ctrl,38
119,8,1875,sun,tip,8
120,8,1875,sun,holes,10
121,9,1875,shade,ctrl,5
122,9,1875,shade,tip,10
123,9,1875,shade,holes,12
124,9,1875,shade,ctrl,13
125,9,1875,shade,tip,15
126,9,1875,shade,holes,10
127,9,1875,shade,ctrl,19
128,9,1875,shade,tip,5
129,9,1875,shade,holes,5
130,9,1875,shade,ctrl,7
131,9,1875,shade,tip,14
132,9,1875,shade,holes,6
133,9,1875,shade,ctrl,6
134,9,1875,shade,tip,34
135,9,1875,shade,holes,15
136,10,1875,sun,ctrl,14
137,10,1875,sun,tip,29
138,10,1875,sun,holes,22
139,10,1875,sun,ctrl,8
140,10,1875,sun,tip,11
141,10,1875,sun,holes,8
142,10,1875,sun,ctrl,12
143,10,1875,sun,tip,17
144,10,1875,sun,holes,7
145,10,1875,sun,ctrl,28
146,10,1875,sun,tip,14
147,10,1875,sun,holes,5
148,10,1875,sun,ctrl,21
149,10,1875,sun,tip,4
150,10,1875,sun,holes,14
151,11,1875,shade,ctrl,8
152,11,1875,shade,tip,24
153,11,1875,shade,holes,0
154,11,1875,shade,ctrl,11
155,11,1875,shade,tip,21
156,11,1875,shade,holes,0
157,11,1875,shade,ctrl,7
158,11,1875,shade,tip,8
159,11,1875,shade,holes,5
160,11,1875,shade,ctrl,7
161,11,1875,shade,tip,22
162,11,1875,shade,holes,6
163,11,1875,shade,ctrl,9
164,11,1875,shade,tip,16
165,11,1875,shade,holes,2
166,12,1875,sun,ctrl,7
167,12,1875,sun,tip,17
168,12,1875,sun,holes,25
169,12,1875,sun,ctrl,22
170,12,1875,sun,tip,11
171,12,1875,sun,holes,9
172,12,1875,sun,ctrl,20
173,12,1875,sun,tip,18
174,12,1875,sun,holes,16
175,12,1875,sun,ctrl,12
176,12,1875,sun,tip,8
177,12,1875,sun,holes,10
178,12,1875,sun,ctrl,7
179,12,1875,sun,tip,7
180,12,1875,sun,holes,18
181,13,2250,shade,ctrl,4
182,13,2250,shade,tip,9
183,13,2250,shade,holes,2
184,13,2250,shade,ctrl,3
185,13,2250,shade,tip,8
186,13,2250,shade,holes,6
187,13,2250,shade,ctrl,12
188,13,2250,shade,tip,6
189,13,2250,shade,holes,4
190,13,2250,shade,ctrl,13
191,13,2250,shade,tip,2
192,13,2250,shade,holes,8
193,13,2250,shade,ctrl,6
194,13,2250,shade,tip,17
195,13,2250,shade,holes,7
196,14,2250,sun,ctrl,11
197,14,2250,sun,tip,19
198,14,2250,sun,holes,5
199,14,2250,sun,ctrl,10
200,14,2250,sun,tip,12
201,14,2250,sun,holes,8
202,14,2250,sun,ctrl,14
203,14,2250,sun,tip,6
204,14,2250,sun,holes,2
205,14,2250,sun,ctrl,19
206,14,2250,sun,tip,13
207,14,2250,sun,holes,5
208,14,2250,sun,ctrl,14
209,14,2250,sun,tip,9
210,14,2250,sun,holes,9
211,15,2250,shade,ctrl,12
212,15,2250,shade,tip,7
213,15,2250,shade,holes,4
214,15,2250,shade,ctrl,25
215,15,2250,shade,tip,7
216,15,2250,shade,holes,6
217,15,2250,shade,ctrl,9
218,15,2250,shade,tip,11
219,15,2250,shade,holes,4
220,15,2250,shade,ctrl,14
221,15,2250,shade,tip,10
222,15,2250,shade,holes,11
223,15,2250,shade,ctrl,22
224,15,2250,shade,tip,11
225,15,2250,shade,holes,11
226,16,2250,sun,ctrl,7
227,16,2250,sun,tip,11
228,16,2250,sun,holes,8
229,16,2250,sun,ctrl,17
230,16,2250,sun,tip,9
231,16,2250,sun,holes,6
232,16,2250,sun,ctrl,20
233,16,2250,sun,tip,19
234,16,2250,sun,holes,9
235,16,2250,sun,ctrl,18
236,16,2250,sun,tip,9
237,16,2250,sun,holes,15
238,16,2250,sun,ctrl,6
239,16,2250,sun,tip,13
240,16,2250,sun,holes,9
241,17,2250,shade,ctrl,7
242,17,2250,shade,tip,9
243,17,2250,shade,holes,5
244,17,2250,shade,ctrl,9
245,17,2250,shade,tip,19
246,17,2250,shade,holes,7
247,17,2250,shade,ctrl,3
248,17,2250,shade,tip,7
249,17,2250,shade,holes,2
250,17,2250,shade,ctrl,7
251,17,2250,shade,tip,19
252,17,2250,shade,holes,19
253,17,2250,shade,ctrl,5
254,17,2250,shade,tip,6
255,17,2250,shade,holes,8
256,18,2250,sun,ctrl,2
257,18,2250,sun,tip,7
258,18,2250,sun,holes,10
259,18,2250,sun,ctrl,24
260,18,2250,sun,tip,19
261,18,2250,sun,holes,17
262,18,2250,sun,ctrl,23
263,18,2250,sun,tip,8
264,18,2250,sun,holes,7
265,18,2250,sun,ctrl,20
266,18,2250,sun,tip,8
267,18,2250,sun,holes,5
268,18,2250,sun,ctrl,6
269,18,2250,sun,tip,8
270,18,2250,sun,holes,5
271,19,2625,shade,ctrl,7
272,19,2625,shade,tip,16
273,19,2625,shade,holes,2
274,19,2625,shade,ctrl,3
275,19,2625,shade,tip,6
276,19,2625,shade,holes,2
277,19,2625,shade,ctrl,6
278,19,2625,shade,tip,6
279,19,2625,shade,holes,2
280,19,2625,shade,ctrl,12
281,19,2625,shade,tip,11
282,19,2625,shade,holes,0
283,19,2625,shade,ctrl,5
284,19,2625,shade,tip,16
285,19,2625,shade,holes,6
286,20,2625,sun,ctrl,10
287,20,2625,sun,tip,18
288,20,2625,sun,holes,2
289,20,2625,sun,ctrl,11
290,20,2625,sun,tip,11
291,20,2625,sun,holes,1
292,20,2625,sun,ctrl,10
293,20,2625,sun,tip,5
294,20,2625,sun,holes,1
295,20,2625,sun,ctrl,7
296,20,2625,sun,tip,12
297,20,2625,sun,holes,9
298,20,2625,sun,ctrl,7
299,20,2625,sun,tip,19
300,20,2625,sun,holes,7
301,21,2625,shade,ctrl,28
302,21,2625,shade,tip,11
303,21,2625,shade,holes,7
304,21,2625,shade,ctrl,14
305,21,2625,shade,tip,14
306,21,2625,shade,holes,2
307,21,2625,shade,ctrl,5
308,21,2625,shade,tip,4
309,21,2625,shade,holes,4
310,21,2625,shade,ctrl,3
311,21,2625,shade,tip,2
312,21,2625,shade,holes,9
313,21,2625,shade,ctrl,10
314,21,2625,shade,tip,5
315,21,2625,shade,holes,1
316,22,2625,sun,ctrl,11
317,22,2625,sun,tip,4
318,22,2625,sun,holes,8
319,22,2625,sun,ctrl,24
320,22,2625,sun,tip,13
321,22,2625,sun,holes,5
322,22,2625,sun,ctrl,7
323,22,2625,sun,tip,11
324,22,2625,sun,holes,9
325,22,2625,sun,ctrl,13
326,22,2625,sun,tip,19
327,22,2625,sun,holes,5
328,22,2625,sun,ctrl,17
329,22,2625,sun,tip,14
330,22,2625,sun,holes,7
331,23,2625,shade,ctrl,12
332,23,2625,shade,tip,7
333,23,2625,shade,holes,2
334,23,2625,shade,ctrl,9
335,23,2625,shade,tip,13
336,23,2625,shade,holes,3
337,23,2625,shade,ctrl,2
338,23,2625,shade,tip,15
339,23,2625,shade,holes,0
340,23,2625,shade,ctrl,12
341,23,2625,shade,tip,17
342,23,2625,shade,holes,6
343,23,2625,shade,ctrl,12
344,23,2625,shade,tip,15
345,23,2625,shade,holes,1
346,24,2625,sun,ctrl,18
347,24,2625,sun,tip,12
348,24,2625,sun,holes,5
349,24,2625,sun,ctrl,6
350,24,2625,sun,tip,12
351,24,2625,sun,holes,6
352,24,2625,sun,ctrl,11
353,24,2625,sun,tip,17
354,24,2625,sun,holes,1
355,24,2625,sun,ctrl,19
356,24,2625,sun,tip,13
357,24,2625,sun,holes,6
358,24,2625,sun,ctrl,7
359,24,2625,sun,tip,14
360,24,2625,sun,holes,7
361,25,3000,shade,ctrl,4
362,25,3000,shade,tip,14
363,25,3000,shade,holes,0
364,25,3000,shade,ctrl,8
365,25,3000,shade,tip,2
366,25,3000,shade,holes,0
367,25,3000,shade,ctrl,4
368,25,3000,shade,tip,11
369,25,3000,shade,holes,1
370,25,3000,shade,ctrl,8
371,25,3000,shade,tip,16
372,25,3000,shade,holes,0
373,25,3000,shade,ctrl,13
374,25,3000,shade,tip,6
375,25,3000,shade,holes,0
376,26,3000,sun,ctrl,16
377,26,3000,sun,tip,7
378,26,3000,sun,holes,2
379,26,3000,sun,ctrl,5
380,26,3000,sun,tip,3
381,26,3000,sun,holes,0
382,26,3000,sun,ctrl,5
383,26,3000,sun,tip,9
384,26,3000,sun,holes,1
385,26,3000,sun,ctrl,18
386,26,3000,sun,tip,7
387,26,3000,sun,holes,1
388,26,3000,sun,ctrl,24
389,26,3000,sun,tip,5
390,26,3000,sun,holes,1
391,27,3000,shade,ctrl,10
392,27,3000,shade,tip,1
393,27,3000,shade,holes,0
394,27,3000,shade,ctrl,4
395,27,3000,shade,tip,13
396,27,3000,shade,holes,0
397,27,3000,shade,ctrl,4
398,27,3000,shade,tip,8
399,27,3000,shade,holes,1
400,27,3000,shade,ctrl,22
401,27,3000,shade,tip,11
402,27,3000,shade,holes,0
403,27,3000,shade,ctrl,10
404,27,3000,shade,tip,10
405,27,3000,shade,holes,0
406,28,3000,sun,ctrl,5
407,28,3000,sun,tip,8
408,28,3000,sun,holes,2
409,28,3000,sun,ctrl,2
410,28,3000,sun,tip,8
411,28,3000,sun,holes,0
412,28,3000,sun,ctrl,9
413,28,3000,sun,tip,9
414,28,3000,sun,holes,3
415,28,3000,sun,ctrl,11
416,28,3000,sun,tip,6
417,28,3000,sun,holes,3
418,28,3000,sun,ctrl,13
419,28,3000,sun,tip,13
420,28,3000,sun,holes,1
421,29,3000,shade,ctrl,10
422,29,3000,shade,tip,13
423,29,3000,shade,holes,0
424,29,3000,shade,ctrl,9
425,29,3000,shade,tip,6
426,29,3000,shade,holes,0
427,29,3000,shade,ctrl,8
428,29,3000,shade,tip,12
429,29,3000,shade,holes,0
430,29,3000,shade,ctrl,11
431,29,3000,shade,tip,8
432,29,3000,shade,holes,0
433,29,3000,shade,ctrl,19
434,29,3000,shade,tip,15
435,29,3000,shade,holes,0
436,30,3000,sun,ctrl,4
437,30,3000,sun,tip,7
438,30,3000,sun,holes,0
439,30,3000,sun,ctrl,5
440,30,3000,sun,tip,11
441,30,3000,sun,holes,1
442,30,3000,sun,ctrl,11
443,30,3000,sun,tip,12
444,30,3000,sun,holes,1
445,30,3000,sun,ctrl,4
446,30,3000,sun,tip,4
447,30,3000,sun,holes,1
448,30,3000,sun,ctrl,14
449,30,3000,sun,tip,7
450,30,3000,sun,holes,0
